店名,評価,レビュー数,ブックマーク数,代表味分類,住所,市町村,URL
トラの夢,3.54,299,9014,豚骨,大分県大分市森633-5,大分市,https://tabelog.com/oita/A4401/A440101/44003515/
ラーメン五九〇 別府鶴見店,3.13,27,172,豚骨,大分県別府市南立石1区5組3,別府市,https://tabelog.com/oita/A4402/A440202/44008099/
元祖辛麺屋 桝元 大分南店,3.03,31,421,醤油,大分県大分市大字光吉字池田1167,大分市,https://tabelog.com/oita/A4401/A440101/44009223/
味噌の達人 光吉店,3.08,16,98,味噌,大分県大分市宮崎832-1,大分市,https://tabelog.com/oita/A4401/A440101/44012700/
天龍軒,3.22,48,825,不明,大分県大分市都町3丁目6番6号ENDOﾋﾞﾙ111,大分市,https://tabelog.com/oita/A4401/A440101/44006159/
中華さと,3.43,90,2125,激辛,大分県日田市元町13-201F,日田市,https://tabelog.com/oita/A4404/A440403/44000407/
厳竜軒,3.17,22,358,豚骨,大分県大分市舞鶴町1-3-17,大分市,https://tabelog.com/oita/A4401/A440101/44001446/
鶏冠,3.27,66,1055,油そば・まぜそば,大分県大分市都町2-2-26opus miyako2 101,大分市,https://tabelog.com/oita/A4401/A440101/44008420/
天津,3.08,16,307,豚骨,大分県佐伯市大手町3-2-15,佐伯市,https://tabelog.com/oita/A4401/A440105/44001492/
十五万石 日出店,3.04,10,84,豚骨,大分県速見郡日出町川崎26-1,速見郡日出町,https://tabelog.com/oita/A4403/A440301/44008340/
中華料理 祥瑞,3.07,11,106,豚骨,大分県宇佐市石田202-4,宇佐市,https://tabelog.com/oita/A4404/A440402/44011318/
求福軒,3.16,42,636,豚骨,大分県日田市南元町420-3,日田市,https://tabelog.com/oita/A4404/A440403/44001486/
大分ラーメン十八番 本店,3.21,34,447,魚介,大分県大分市原新町16-312,大分市,https://tabelog.com/oita/A4401/A440101/44013563/
ラーメンとん太 大道店,3.05,58,295,味噌,大分県大分市大道町1-2200-1,大分市,https://tabelog.com/oita/A4401/A440101/44006913/
なかつ宝来軒 別府店,3.26,67,916,豚骨,大分県別府市南的ヶ浜町5-19,別府市,https://tabelog.com/oita/A4402/A440202/44003710/
函館ラーメン藍,3.23,45,547,味噌,大分県大分市青崎2-121,大分市,https://tabelog.com/oita/A4401/A440101/44005319/
翔天食堂,3.12,32,500,豚骨,大分県中津市大貞371-49松喜第二ビル 1F,中津市,https://tabelog.com/oita/A4404/A440401/44010039/
竹田の中華そば こっとん,3.25,61,1452,中華そば,大分県竹田市入田石原19,竹田市,https://tabelog.com/oita/A4401/A440102/44006731/
しゅうちゃんラーメン,3.41,91,1790,豚骨,大分県中津市大字犬丸2107-2,中津市,https://tabelog.com/oita/A4404/A440401/44007697/
暘谷亭,3.25,31,365,豚骨,大分県速見郡日出町3480-1,速見郡日出町,https://tabelog.com/oita/A4403/A440301/44008151/
まる中,3.22,47,725,つけ麺,大分県大分市毛井7-1,大分市,https://tabelog.com/oita/A4401/A440101/44010260/
京都しもがも担々麺 賢魂一滴,3.06,12,193,担々麺,大分県中津市豊田町11-10久保ビル 1F,中津市,https://tabelog.com/oita/A4404/A440401/44009499/
自家製麺めぬま,3.19,24,370,つけ麺,大分県大分市高城新町3-22キリムラビル,大分市,https://tabelog.com/oita/A4401/A440101/44013899/
田舎食改革第1弾 嗚呼 隼 本店,3.20,39,574,豚骨,大分県竹田市直入町大字長湯7952-3,竹田市,https://tabelog.com/oita/A4401/A440102/44000953/
ラーメン浅野 3号,3.34,74,860,二郎系,大分県大分市中央町1-4-22大分マート,大分市,https://tabelog.com/oita/A4401/A440101/44010339/
ラーメンとん太 南大分店,3.01,15,96,味噌,大分県大分市賀来北2-16-5,大分市,https://tabelog.com/oita/A4401/A440101/44003770/
らぁ麺 牛ごろ極,3.45,179,3991,味噌,大分県大分市中央町1-4-22大分マート,大分市,https://tabelog.com/oita/A4401/A440101/44007957/
日輪食堂,3.05,14,198,豚骨,大分県由布市庄内町西1022-1,由布市,https://tabelog.com/oita/A4402/A440201/44008446/
長浜ラーメン 三川店,3.03,13,63,塩,大分県大分市三川新町2-3-10,大分市,https://tabelog.com/oita/A4401/A440101/44006222/
丸源ラーメン 南大分店,3.05,39,182,味噌,大分県大分市羽屋4-1-63,大分市,https://tabelog.com/oita/A4401/A440101/44012499/
鳳春軒,3.17,14,323,不明,大分県大分市曲1112-1,大分市,https://tabelog.com/oita/A4401/A440101/44009604/
太一商店 宗方店,3.06,22,227,二郎系,大分県大分市上宗方636-1,大分市,https://tabelog.com/oita/A4401/A440101/44012068/
菊の屋 新春日店,3.18,40,439,豚骨,大分県大分市新春日町2-3-9,大分市,https://tabelog.com/oita/A4401/A440101/44004326/
中華麺食堂 味楽亭 古国府店,3.08,18,138,担々麺,大分県大分市古国府385,大分市,https://tabelog.com/oita/A4401/A440101/44007551/
柳華園,3.14,12,155,担々麺,大分県中津市上宮永10-3,中津市,https://tabelog.com/oita/A4404/A440401/44001159/
きりん亭,3.30,72,1786,不明,大分県別府市餅ケ浜10-45,別府市,https://tabelog.com/oita/A4402/A440202/44000035/
大学軒,3.21,45,784,不明,大分県日田市田島1-2-1,日田市,https://tabelog.com/oita/A4404/A440403/44000626/
大陸ラーメン,3.29,168,2280,豚骨,大分県別府市北浜1-10-21,別府市,https://tabelog.com/oita/A4402/A440202/44003958/
桝元 大分本店,3.04,68,1431,不明,大分県大分市松原町1-3-2,大分市,https://tabelog.com/oita/A4401/A440101/44007479/
麺's倶楽部 麺玄,3.08,19,229,豚骨,大分県別府市小倉4-1,別府市,https://tabelog.com/oita/A4402/A440202/44005593/
熊本ラーメン わさもん亭,3.11,33,500,豚骨,大分県大分市中央町3-3-8,大分市,https://tabelog.com/oita/A4401/A440101/44001434/
宝来軒 万田店,3.07,26,220,豚骨,大分県中津市大字万田612,中津市,https://tabelog.com/oita/A4404/A440401/44000726/
別府辛麺本舗,3.07,17,154,塩,大分県別府市北浜1-3-21,別府市,https://tabelog.com/oita/A4402/A440202/44011674/
横浜家系ラーメン 高崎家,3.25,48,261,家系,大分県大分市中央町1-4-19,大分市,https://tabelog.com/oita/A4401/A440101/44012966/
二代目ラーメンカヨ,3.32,37,2437,豚骨,大分県佐伯市蒲江畑野浦117-2,佐伯市,https://tabelog.com/oita/A4401/A440105/44011918/
らーめん 常々,3.23,34,413,豚骨,大分県大分市府内町2-5-3,大分市,https://tabelog.com/oita/A4401/A440101/44011479/
立石山ドライブイン,3.12,15,394,味噌,大分県杵築市山香町立石3732,杵築市,https://tabelog.com/oita/A4404/A440402/44006996/
ラーメンみそや,3.17,30,365,味噌,大分県別府市石垣西10-1-28,別府市,https://tabelog.com/oita/A4402/A440202/44005849/
陽一番亭,3.11,21,203,豚骨,大分県大分市高松1-8-41,大分市,https://tabelog.com/oita/A4401/A440101/44009953/
七味らーめん,3.12,14,127,激辛,大分県別府市北浜1-9-19北浜ナイトセンター 1F,別府市,https://tabelog.com/oita/A4402/A440202/44013645/
尾道らぁ麺 尾麺,3.12,14,151,醤油,大分県大分市都町2-5-13白銀ビル1F,大分市,https://tabelog.com/oita/A4401/A440101/44013122/
魚介豚骨らーめん 刻,3.23,35,338,魚介,大分県中津市島田617-1,中津市,https://tabelog.com/oita/A4404/A440401/44012490/
宝来軒 バイパス店,3.25,84,814,豚骨,大分県中津市大字加来1548-1,中津市,https://tabelog.com/oita/A4404/A440401/44004537/
聖,3.05,12,224,豚骨,大分県佐伯市駅前2-7-10ビジネスホテル鶴水 1F,佐伯市,https://tabelog.com/oita/A4401/A440105/44007515/
東京らーめん食堂,3.08,30,312,醤油,大分県中津市大字上如水1853,中津市,https://tabelog.com/oita/A4404/A440401/44006036/
博多ラーメン勝福 日田店,3.04,13,96,味噌,大分県日田市大字友田988,日田市,https://tabelog.com/oita/A4404/A440403/44005627/
ラーメンひまわり,3.11,20,163,豚骨,大分県大分市津守29,大分市,https://tabelog.com/oita/A4401/A440101/44012177/
壱丁目ラーメン 本店,3.28,100,1253,豚骨,大分県別府市北浜1-3-31,別府市,https://tabelog.com/oita/A4402/A440202/44003775/
久留米ラーメン 別府駅前店,3.34,58,957,豚骨,大分県別府市北浜1-10-9,別府市,https://tabelog.com/oita/A4402/A440202/44008776/
ラーメンバリ豚,3.10,19,146,豚骨,大分県大分市角子原1-11-22,大分市,https://tabelog.com/oita/A4401/A440101/44013197/
中華蕎麦 はせ川,3.41,61,1746,醤油,大分県別府市駅前本町6-11アトリオBeppu1F,別府市,https://tabelog.com/oita/A4402/A440202/44012894/
大砲ラーメン 大分店,3.06,57,1026,豚骨,大分県大分市下郡七歩1716-3,大分市,https://tabelog.com/oita/A4401/A440101/44003434/
中華そば さこや,3.33,51,627,醤油,大分県大分市中央町3-6-29布屋ビル 別館 1F,大分市,https://tabelog.com/oita/A4401/A440101/44013138/
和風ラーメン どん,3.01,10,71,塩,大分県宇佐市葛原761-1,宇佐市,https://tabelog.com/oita/A4404/A440402/44002502/
キクノヤ★ロック 別府店,3.27,61,736,豚骨,大分県別府市鉄輪東2-2,別府市,https://tabelog.com/oita/A4402/A440202/44005317/
森のくまさんラーメン,3.07,20,155,豚骨,大分県大分市大在北3-2-4,大分市,https://tabelog.com/oita/A4401/A440101/44001431/
壱丁目ラーメン 中央竹町店,3.26,41,222,豚骨,大分県大分市中央町2-8-6,大分市,https://tabelog.com/oita/A4401/A440101/44013632/
別府中華そば 熊猫,3.35,59,791,中華そば,大分県別府市駅前町6-11,別府市,https://tabelog.com/oita/A4402/A440202/44012816/
二代目十五万石 戸次店,3.20,40,295,豚骨,大分県大分市中戸次5129-1,大分市,https://tabelog.com/oita/A4401/A440101/44006732/
ラーメン亀甲,3.06,10,196,味噌,大分県佐伯市大字木立築良田6485-5,佐伯市,https://tabelog.com/oita/A4401/A440105/44005173/
朝ラーメン らいおん食堂,3.05,12,97,豚骨,大分県大分市向原西1-1-27大分県トラック会館 1F,大分市,https://tabelog.com/oita/A4401/A440101/44013897/
ラーメン亭一番,3.41,109,1392,豚骨,大分県大分市都町3-4-5,大分市,https://tabelog.com/oita/A4401/A440101/44001441/
杵築ラーメン 清新亭本店,3.06,20,198,豚骨,大分県杵築市守江4780-52,杵築市,https://tabelog.com/oita/A4403/A440301/44000618/
福助,3.12,47,1526,鶏白湯,大分県由布市湯布院町川上3052-3,由布市,https://tabelog.com/oita/A4402/A440201/44004857/
点法輪,3.19,27,303,豚骨,大分県大分市高松東2-7-20尾形ビル 1F,大分市,https://tabelog.com/oita/A4401/A440101/44011934/
麺家うえの,3.09,25,219,豚骨,大分県別府市東荘園4丁目1,別府市,https://tabelog.com/oita/A4402/A440202/44005801/
お茶や食堂,3.23,17,201,塩,大分県玖珠郡九重町町田1877,玖珠郡九重町,https://tabelog.com/oita/A4404/A440404/44002845/
来々軒,3.42,107,2136,豚骨,大分県日田市三本松1-13-24,日田市,https://tabelog.com/oita/A4404/A440403/44001165/
博多金龍 中津店,3.01,14,102,豚骨,大分県中津市沖代町1-281-1,中津市,https://tabelog.com/oita/A4404/A440401/44005837/
万来,3.11,23,196,豚骨,大分県速見郡日出町3140,速見郡日出町,https://tabelog.com/oita/A4403/A440301/44001523/
めし屋 賛辞,3.23,52,1181,つけ麺,大分県由布市庄内町大龍1474-1,由布市,https://tabelog.com/oita/A4402/A440201/44009722/
みゆき食堂,3.08,19,432,味噌,大分県別府市御幸2,別府市,https://tabelog.com/oita/A4402/A440202/44002967/
十五万石 花園店,3.06,13,100,豚骨,大分県大分市大字古国府花園11-1,大分市,https://tabelog.com/oita/A4401/A440101/44007671/
みくま飯店,3.48,351,9729,豚骨,大分県日田市隈1-5-21,日田市,https://tabelog.com/oita/A4404/A440403/44000522/
ラーメン 侍 湯布院店,3.07,14,119,豚骨,大分県由布市湯布院町川上3056-1,由布市,https://tabelog.com/oita/A4402/A440201/44012475/
ふくやラーメン工房 アミュプラザおおいた店,3.44,108,660,豚骨,大分県大分市要町1-40豊後にわさき市場,大分市,https://tabelog.com/oita/A4401/A440101/44013206/
一刀竜,3.25,62,806,豚骨,大分県別府市餅ヶ浜1-15,別府市,https://tabelog.com/oita/A4402/A440202/44008118/
暘谷亭,3.05,13,174,豚骨,大分県杵築市南杵築1715-30,杵築市,https://tabelog.com/oita/A4403/A440301/44001510/
三久,3.54,297,7347,豚骨,大分県日田市亀山町1-1,日田市,https://tabelog.com/oita/A4404/A440403/44001476/
餃子飯店,3.50,210,5705,豚骨,大分県大分市金池町1-2-3いわおビル　１Ｆ,大分市,https://tabelog.com/oita/A4401/A440101/44000538/
中華そば 山猫,3.14,25,559,中華そば,大分県豊後高田市見目745-1,豊後高田市,https://tabelog.com/oita/A4403/A440302/44011902/
ラーメン隼,3.05,11,192,豚骨,大分県豊後大野市朝地町下野786,豊後大野市,https://tabelog.com/oita/A4401/A440103/44001520/
丹頂,3.43,70,2793,不明,大分県大分市高城新町9-1,大分市,https://tabelog.com/oita/A4401/A440101/44001422/
宝来軒 本店,3.52,162,3663,激辛,大分県中津市日ノ出町2,中津市,https://tabelog.com/oita/A4404/A440401/44000087/
宝来軒 産業道路店,3.10,26,198,豚骨,大分県中津市東浜985-1,中津市,https://tabelog.com/oita/A4404/A440401/44002044/
九州豚骨醤油 鯉から竜,3.24,52,481,豚骨,大分県別府市石垣東10-1-30,別府市,https://tabelog.com/oita/A4402/A440202/44012734/
壱丁目ラーメン 本店直営 大分光吉店,3.21,63,702,塩,大分県大分市大字光吉686Ｔａｓ１　２Ｆ,大分市,https://tabelog.com/oita/A4401/A440101/44004323/
麺屋 いち一,3.06,15,130,つけ麺,大分県宇佐市和気816-1,宇佐市,https://tabelog.com/oita/A4404/A440402/44011346/
太一商店 乙津店,3.13,107,1062,味噌,大分県大分市乙津1-1,大分市,https://tabelog.com/oita/A4401/A440101/44001038/
やなぎ家,3.09,26,438,豚骨,大分県別府市元町8-4,別府市,https://tabelog.com/oita/A4402/A440202/44001457/
辛麺屋 桝元 中津店,3.02,25,307,味噌,大分県中津市牛神1-1-9,中津市,https://tabelog.com/oita/A4404/A440401/44009308/
麺処 ひといき,3.18,35,441,豚骨,大分県大分市弁天2-6-19,大分市,https://tabelog.com/oita/A4401/A440101/44010132/
宝来軒 中央町店,3.25,53,694,豚骨,大分県中津市中央町1-4-25,中津市,https://tabelog.com/oita/A4404/A440401/44005288/
一骨家 宇佐店,3.18,25,227,豚骨,大分県宇佐市石田210-5,宇佐市,https://tabelog.com/oita/A4404/A440402/44012718/
一骨家,3.52,156,3157,豚骨,大分県大分市畑中8ビクトリーハイツ１F,大分市,https://tabelog.com/oita/A4401/A440101/44000824/
味噌乃家 別府ゆめタウン店,3.07,38,325,味噌,大分県別府市楠町382-7ゆめタウン別府店 1F,別府市,https://tabelog.com/oita/A4402/A440202/44007828/
まるきつけ麺,3.30,55,781,つけ麺,大分県大分市下判田2255-11,大分市,https://tabelog.com/oita/A4401/A440101/44006208/
きらく屋らーめん,3.06,10,56,豚骨,大分県別府市汐見町3-24,別府市,https://tabelog.com/oita/A4402/A440202/44001458/
らーめん五九○ 中津店,3.01,14,86,豚骨,大分県中津市大字蛎瀬860-1,中津市,https://tabelog.com/oita/A4404/A440401/44000999/
楽天らーめん堂,3.15,36,629,豚骨,大分県佐伯市中村東町5-23,佐伯市,https://tabelog.com/oita/A4401/A440105/44005157/
豚骨ラーメン 浅野本店,3.29,61,555,豚骨,大分県大分市府内町3-1-25,大分市,https://tabelog.com/oita/A4401/A440101/44012167/
八坂ラーメン,3.22,46,435,塩,大分県大分市都町1-1-12,大分市,https://tabelog.com/oita/A4401/A440101/44003157/
ラーメン五九○ 宇佐店,3.05,12,67,豚骨,大分県宇佐市四日市85-1,宇佐市,https://tabelog.com/oita/A4404/A440402/44008745/
Ｆａｎ Ｆａｒｅ,3.05,17,53,不明,大分県大分市高崎山下海岸大分マリーンパレス水族館　うみたまご内,大分市,https://tabelog.com/oita/A4401/A440101/44000920/
華川ラーメン,3.08,18,236,味噌,大分県大分市明野東2-1681-101,大分市,https://tabelog.com/oita/A4401/A440101/44001449/
味噌亭,3.27,82,363,味噌,大分県国東市安岐町下原13大分空港ターミナル 3F,国東市,https://tabelog.com/oita/A4403/A440302/44000017/
ラーメンいっちゃん 琴別府店,3.40,88,1648,豚骨,大分県別府市亀川浜田町12-58,別府市,https://tabelog.com/oita/A4402/A440202/44007579/
ラーメンショップ 山香店,3.25,50,618,味噌,大分県杵築市山香町向野2184-1,杵築市,https://tabelog.com/oita/A4404/A440402/44006521/
昭和ラーメン　風,3.07,27,208,豚骨,大分県別府市北浜1-5-3,別府市,https://tabelog.com/oita/A4402/A440202/44004588/
ラーメン龍の家 下郡バイパス店,3.07,72,812,豚骨,大分県大分市大字片島370-1,大分市,https://tabelog.com/oita/A4401/A440101/44008153/
大砲ラーメン 別府海岸通り店,3.13,153,2459,豚骨,大分県別府市浜町3-27,別府市,https://tabelog.com/oita/A4402/A440202/44000505/
まる重,3.39,68,861,油そば・まぜそば,大分県大分市田中町2-6-1,大分市,https://tabelog.com/oita/A4401/A440101/44011526/
らうめん 点法輪,3.12,30,284,醤油,大分県佐伯市鶴岡西町2-233,佐伯市,https://tabelog.com/oita/A4401/A440105/44007374/
紅虎餃子房 大分パークプレイス店,3.04,29,167,担々麺,大分県大分市公園通り西2-1パークプレイス大分２F,大分市,https://tabelog.com/oita/A4401/A440101/44000085/
香春,3.08,13,153,魚介,大分県佐伯市中の島1-16-22,佐伯市,https://tabelog.com/oita/A4401/A440105/44001171/
旨壱商店,3.12,19,195,豚骨,大分県大分市高松東3-1-9,大分市,https://tabelog.com/oita/A4401/A440101/44013133/
六盛 トキハ別府店,3.46,182,3281,塩,大分県別府市北浜2-9-1トキハ別府店 B1F,別府市,https://tabelog.com/oita/A4402/A440202/44011422/
味噌の達人,3.23,44,475,味噌,大分県大分市生石1-2-14,大分市,https://tabelog.com/oita/A4401/A440101/44010171/
想夫恋 友田店,3.04,25,360,不明,大分県日田市南友田110-5,日田市,https://tabelog.com/oita/A4404/A440403/44007017/
一蘭 大分弁天店,3.06,97,589,豚骨,大分県大分市弁天3-5-1,大分市,https://tabelog.com/oita/A4401/A440101/44007815/
麺蔵 さっぽろっこ 明野店,3.22,40,297,味噌,大分県大分市明野北5-1-30,大分市,https://tabelog.com/oita/A4401/A440101/44001450/
十五万石 政所店,3.05,12,63,豚骨,大分県大分市政所1-1-8,大分市,https://tabelog.com/oita/A4401/A440101/44009690/
ゴールデンヌードル サムライ 日田本店,3.08,13,196,豚骨,大分県日田市隈1-4-2,日田市,https://tabelog.com/oita/A4404/A440403/44011596/
中華そば まがり,3.18,19,280,中華そば,大分県大分市中央町2-6-9熊三,大分市,https://tabelog.com/oita/A4401/A440101/44012707/
らーめん五九◯ 高尾店,3.07,14,61,豚骨,大分県大分市大字横尾4092-9,大分市,https://tabelog.com/oita/A4401/A440101/44010160/
嫁の中華そば,3.09,22,1152,中華そば,大分県大分市中鶴崎1-1-30,大分市,https://tabelog.com/oita/A4401/A440101/44012626/
らーめん蓬,3.08,11,109,豚骨,大分県大分市中央町2-6-22サザンブライト 2F,大分市,https://tabelog.com/oita/A4401/A440101/44013908/
九州豚骨醤油　鯉から竜 宗方店,3.17,26,175,家系,大分県大分市上宗方543-4,大分市,https://tabelog.com/oita/A4401/A440101/44013379/
辛麺屋 輪 アミュプラザおおいた店,3.21,30,235,油そば・まぜそば,大分県大分市要町1-14アミュプラザおおいた 4F,大分市,https://tabelog.com/oita/A4401/A440101/44010956/
らーめん五九○ 戸次店,3.05,11,61,豚骨,大分県大分市中戸次4718-2,大分市,https://tabelog.com/oita/A4401/A440101/44009347/
福龍ラーメン,3.06,17,171,豚骨,大分県大分市乙津町2-16,大分市,https://tabelog.com/oita/A4401/A440101/44006002/
長浜ラーメン 西大分店,3.01,31,178,豚骨,大分県大分市生石2-2-37,大分市,https://tabelog.com/oita/A4401/A440101/44006947/
嬉屋,3.07,11,127,醤油,大分県宇佐市富山字野口111-1,宇佐市,https://tabelog.com/oita/A4404/A440402/44012649/
武庵花福,3.06,14,344,醤油,大分県中津市大字蛎瀬592-1,中津市,https://tabelog.com/oita/A4404/A440401/44000202/
金龍ラーメン,3.05,14,176,豚骨,大分県大分市中鶴崎2-1-27,大分市,https://tabelog.com/oita/A4401/A440101/44001436/
宝華ラーメン,3.21,46,708,魚介,大分県日田市豆田町2-7,日田市,https://tabelog.com/oita/A4404/A440403/44004300/
幸悦,3.09,24,367,豚骨,大分県臼杵市戸室あすとぴあ10-2,臼杵市,https://tabelog.com/oita/A4401/A440104/44002273/
泰勝軒,3.12,39,1219,豚骨,大分県日田市三本松1-14-18,日田市,https://tabelog.com/oita/A4404/A440403/44001479/
創作Dining KiRARA,3.07,11,275,鶏白湯,大分県大分市都町3-6-20マリオンビル 1F,大分市,https://tabelog.com/oita/A4401/A440101/44010536/
ラーメン ごくまる シーガーデンひじ店,3.07,12,62,豚骨,大分県速見郡日出町豊岡楠本883,速見郡日出町,https://tabelog.com/oita/A4403/A440301/44012879/
銀馬ラーメン,3.12,25,381,塩,大分県日田市三芳小渕町56,日田市,https://tabelog.com/oita/A4404/A440403/44001478/
ラーメン専門店 藤原来々軒,3.34,73,1464,豚骨,大分県佐伯市鶴岡町1-3-27,佐伯市,https://tabelog.com/oita/A4401/A440105/44001036/
長浜ラーメン　麺通人,3.13,34,413,豚骨,大分県大分市大洲浜1-9-6サンライズビル　1F,大分市,https://tabelog.com/oita/A4401/A440101/44000831/
鯛こく,3.07,12,92,塩,大分県別府市浜脇2-2-3,別府市,https://tabelog.com/oita/A4402/A440202/44013647/
麺とおつまみ みっちゃん315,3.08,10,40,中華そば,大分県大分市銀座会館3-4-31F,大分市,https://tabelog.com/oita/A4401/A440101/44013336/
元祖佐伯らーめん 上海 大分府内店,3.20,19,210,不明,大分県大分市府内町1-6-42LHASAビル 1F,大分市,https://tabelog.com/oita/A4401/A440101/44013595/
丸源ラーメン 大分萩原店,3.03,26,81,醤油,大分県大分市萩原3-11-39,大分市,https://tabelog.com/oita/A4401/A440101/44013325/
味噌乃家 大分マート店,3.15,101,1290,味噌,大分県大分市中央町1-4-22サクラヤビル 1F,大分市,https://tabelog.com/oita/A4401/A440101/44007545/
ラーメンとん太 宇佐店,3.01,11,52,味噌,大分県宇佐市大字山下1133-2,宇佐市,https://tabelog.com/oita/A4404/A440402/44009285/
なしかラーメン 米良バイパス店,3.04,10,76,味噌,大分県大分市下郡北3-26‐24,大分市,https://tabelog.com/oita/A4401/A440101/44005104/
大分慶珉,3.09,28,233,豚骨,大分県大分市小池原1545-3,大分市,https://tabelog.com/oita/A4401/A440101/44009097/
さっぽろっこ トキハわさだ店,3.05,10,21,味噌,大分県大分市玉沢755トキハわさだタウン,大分市,https://tabelog.com/oita/A4401/A440101/44003772/
元祖別府ら～めん,3.09,20,324,豚骨,大分県別府市北浜1-10,別府市,https://tabelog.com/oita/A4402/A440202/44010197/
味噌乃家 森町バイパス店,3.06,27,321,味噌,大分県大分市皆春1576-7,大分市,https://tabelog.com/oita/A4401/A440101/44008126/
来来亭 下郡店,3.03,33,151,醤油,大分県大分市下郡3153-3,大分市,https://tabelog.com/oita/A4401/A440101/44012564/
横浜家系ラーメン 福まし家,3.27,37,248,家系,大分県大分市中央町2-6-14,大分市,https://tabelog.com/oita/A4401/A440101/44013055/
白龍,3.30,73,1347,豚骨,大分県佐伯市駅前1-4-15,佐伯市,https://tabelog.com/oita/A4401/A440105/44001945/
ラーメン亭 都町店,3.25,50,564,豚骨,大分県大分市都町1-1,大分市,https://tabelog.com/oita/A4401/A440101/44000463/
ヌードル ファクトリー ライフ,3.45,123,2419,豚骨,大分県別府市元町5-8,別府市,https://tabelog.com/oita/A4402/A440202/44010850/
宝来軒 宇佐店,3.00,22,139,豚骨,大分県宇佐市大字法鏡寺267-4,宇佐市,https://tabelog.com/oita/A4404/A440402/44005482/
麺堂 香 高城店,3.32,103,1324,豚骨,大分県大分市日吉町1-22,大分市,https://tabelog.com/oita/A4401/A440101/44000605/
天龍,3.46,211,6193,豚骨,大分県日田市田島2-7-6,日田市,https://tabelog.com/oita/A4404/A440403/44003135/
金太郎,3.07,13,157,豚骨,大分県佐伯市葛港11-15,佐伯市,https://tabelog.com/oita/A4401/A440105/44001037/
博多ラーメン七萬,3.17,21,292,豚骨,大分県大分市城原2333-3,大分市,https://tabelog.com/oita/A4401/A440101/44010307/
ふらり,3.56,284,10229,醤油,大分県別府市北鉄輪6組,別府市,https://tabelog.com/oita/A4402/A440202/44005850/
馬力屋 古国府店,3.19,25,147,豚骨,大分県大分市古国府田中383-2,大分市,https://tabelog.com/oita/A4401/A440101/44012074/
ニュー宝来,3.09,23,336,豚骨,大分県別府市石垣東6-8-6,別府市,https://tabelog.com/oita/A4402/A440202/44001461/
らぁ麺 三湯,3.42,65,1128,鶏白湯,大分県別府市上人西4-2祝園ビル 1F,別府市,https://tabelog.com/oita/A4402/A440202/44012525/
一輝亭,3.31,73,1704,豚骨,大分県宇佐市住吉町1-32,宇佐市,https://tabelog.com/oita/A4404/A440402/44001512/
炎王ラーメン,3.38,121,1669,豚骨,大分県大分市都町3-2-4ニュー井上ビル　１Ｆ,大分市,https://tabelog.com/oita/A4401/A440101/44005912/
